jurisdiction,pattern,civil_from,church_index_from,source,notes
England and Wales,england|wales|london|lancashire|yorkshire|kent|middlesex|surrey|devon|cornwall,1837,1538,https://www.familysearch.org/en/wiki/England_Civil_Registration,"Civil registration from 1 July 1837; parish registers from 1538, online coverage patchy (FreeREG)"
Scotland,scotland,1855,1553,https://www.familysearch.org/en/wiki/Scotland_Civil_Registration,"Statutory registers from 1 January 1855; Old Parish Registers before that, indexed on ScotlandsPeople"
Ireland,ireland|kerry|cork|limerick|clare|tipperary|dublin|galway|mayo|wexford|wicklow,1864,1740,https://www.familysearch.org/en/wiki/Ireland_Civil_Registration,"All events from 1 January 1864; non-Catholic marriages from 1 April 1845; Catholic parish registers mostly 1780s to 1880 at NLI, some Cork and Kerry parishes from the 1740s, many later"
Victoria,victoria|vic\b,1853,1836,https://www.familysearch.org/en/wiki/Victoria_Civil_Registration,"Civil registration from 1 July 1853; before that Port Phillip District church returns under NSW from 1836"
New South Wales,new south wales|nsw\b,1856,1788,https://www.familysearch.org/en/wiki/New_South_Wales_Civil_Registration,"Civil registration from 1 March 1856; church returns 1788 to 1855 indexed by NSW BDM"
Queensland,queensland|qld\b,1856,1829,https://www.familysearch.org/en/wiki/Queensland_Civil_Registration,"Registration compulsory from 1856 as part of NSW; separate colony 1859; church records from 1829 in the QLD index"
South Australia,south australia,1842,1836,https://www.familysearch.org/en/wiki/South_Australia_Civil_Registration,"Civil registration from July 1842; Genealogy SA indexes from 1836. SA death entries do not name parents"
Western Australia,western australia|wa\b,1841,1829,https://www.familysearch.org/en/wiki/Western_Australia_Civil_Registration,"Registry online index from 1841; published index caps around 1932 births, 1936 marriages, 1971 deaths"
Tasmania,tasmania|van diemen,1838,1803,https://www.familysearch.org/en/wiki/Tasmania_Civil_Registration,"Registration from December 1838; earlier church returns at Libraries Tasmania"
New Zealand,new zealand,1848,1840,https://www.familysearch.org/en/wiki/New_Zealand_Civil_Registration,"European births and deaths from 1848, marriages from 1854; Maori registration 1911 (marriages) and 1913 (births and deaths)"
India (European and Anglo-Indian),india|bengal|bombay|madras|calcutta|burma,1886,1698,https://www.familysearch.org/en/wiki/India_Civil_Registration,"Civil registration for Europeans voluntary under the 1886 Act; the practical source is the India Office ecclesiastical returns (N series, from 1698) at the British Library and FamilySearch, Anglican plus some Catholic: a Catholic event missing there is coverage-unknown, not absent"
Germany,germany|prussia|bavaria|saxony|hesse|hanover|baden|wurttemberg,1876,1600,https://www.familysearch.org/en/wiki/Germany_Civil_Registration,"National civil registration from 1 January 1876; Prussia from October 1874; earlier events in church books, indexed unevenly"
Denmark,denmark,1851,1645,https://www.familysearch.org/en/wiki/Denmark_Civil_Registration,"Civil marriage registration from 1851, deaths from 1840; church books are the state record and are online at the Danish National Archives"
Canada (Ontario),ontario,1869,1800,https://www.familysearch.org/en/wiki/Ontario_Civil_Registration,"Civil registration from 1 July 1869; earlier church and district marriage registers"
